term,course_code,print_daytime,building_number,room_number,class_days,class_start_time,class_end_time
202408,BIOL P110,MWF 9:00am-9:50am,SCI,101,M W F,0900,0950
202408,BIOL P115,TTh 1:00pm-2:15pm,SCI,102,T Th,1300,1415
202408,BIOL P119,MWF 11:00am-11:50am,SCI,103,M W F,1100,1150
202408,BIOL P135,TTh 3:30pm-4:45pm,SCI,104,T Th,1530,1645
202408,CHEM P101A,TTh 10:00am-11:15am,CHEM,202,T Th,1000,1115
202408,CHEM P105,MWF 2:00pm-2:50pm,CHEM,203,M W F,1400,1450
202408,CHEM P106,TTh 8:00am-9:15am,CHEM,204,T Th,0800,0915
202408,CHDV P122,MW 11:00am-12:15pm,EDU,105,M W,1100,1215
202408,CHDV P223,TTh 9:00am-10:15am,EDU,106,T Th,0900,1015
202408,CHDV P117,F 8:00am-10:50am,EDU,107,F,0800,1050
202408,CHDV P119,TTh 1:00pm-2:15pm,EDU,108,T Th,1300,1415
202408,CHDV P144,MW 1:30pm-2:45pm,EDU,109,M W,1330,1445
